rank,sn,carries,crosses,county,owner,maint,year_built,year_recon,adt,adt_year,truck_pct,min_rating,poor_since,streak,status,lat,lon
321,180240.0,FM,MUD CREEK,Henry,County,County,1958,0.0,60,2022,0,4.0,2010,16,Open,40.823508333333336,-91.7187611111111
322,254430.0,FM,LITTLE TARKIO TRIB,Montgomery,County,County,1947,0.0,60,2021,0,3.0,2010,16,CLOSED to traffic,40.97125555555556,-95.15620833333334
323,246840.0,LCL-ELDERBERRY,MUD CREEK,Mills,County,County,1960,0.0,60,2022,0,4.0,2010,16,Open,41.09863055555556,-95.51723611111112
324,180310.0,FM,S. BR. BIG CREEK,Henry,County,County,1957,0.0,60,2022,0,3.0,2010,16,Posted (load limit),40.97846666666667,-91.45762777777779
325,135200.0,FM,STREAM,Davis,County,County,1957,0.0,60,2022,0,4.0,2010,16,Open,40.87043611111111,-92.26471944444444
326,133570.0,FM,N WYACONDAH CREEK,Davis,County,County,1940,0.0,60,2022,0,4.0,2010,16,Posted (load limit),40.66786111111111,-92.31361388888888
327,149060.0,LOCAL,BROWN CR,Emmet,County,County,1961,0.0,60,2022,0,4.0,2010,16,Posted (load limit),43.50100833333333,-94.76084166666666
328,235120.0,LOCAL RD,DRAINAGE,Madison,County,County,1940,0.0,60,2022,0,4.0,2010,16,Open,41.49198611111111,-94.22350277777778
329,238245.0,LOCAL,STREAM,Mahaska,County,County,1953,0.0,60,2022,0,4.0,2010,16,Open,41.45874444444445,-92.67528055555556
330,185150.0,LOCAL,DM RIVER,Humboldt,County,County,1911,0.0,60,2022,0,4.0,2010,16,Posted (load limit),42.89205277777778,-94.18363055555555
331,135590.0,FM,SMALL STREAM,Davis,County,County,1954,0.0,60,2022,0,4.0,2010,16,Posted (restriction),40.876625,-92.46114166666666
332,137530.0,FM,STREAM,Decatur,County,County,1940,0.0,60,2022,0,4.0,2010,16,Open,40.6455,-93.79176111111111
333,254720.0,FM,NISHNABOTNA,Montgomery,County,County,1942,1959.0,60,2022,0,0.0,2010,16,CLOSED to traffic,40.944738888888885,-95.26571666666666
334,202630.0,LOCAL,CREEK,Jefferson,County,County,1959,0.0,60,2022,0,3.0,2010,16,Posted (load limit),41.09464166666667,-92.16828333333333
335,200790.0,FM,DRAINAGE,Jefferson,County,County,1954,0.0,60,2022,0,4.0,2010,16,Posted (load limit),41.07533888888889,-91.74419166666667
336,313681.0,632ND AVE,WEST BR INDIAN CREEK,Story,County,County,1938,0.0,60,2022,0,4.0,2010,16,Posted (load limit),41.93172222222222,-93.43993611111111
337,274210.0,POLK AVE,DEEP CREEK,Plymouth,County,County,1958,0.0,60,2021,0,4.0,2010,16,Open,42.81851666666667,-96.0165138888889
338,168640.0,LOCAL,TRIB. TO TROUBLESOME,Guthrie,County,County,1920,0.0,60,2022,0,3.0,2010,16,Open,41.63131388888889,-94.66829722222222
339,314310.0,535TH AVE,BALLARD CREEK,Story,County,County,1920,1974.0,60,2022,0,4.0,2010,16,Posted (restriction),41.90997222222222,-93.62990277777777
340,61894.0,LOCAL,PAINT CREEK,Allamakee,County,County,1915,1956.0,60,2017,0,4.0,2010,16,Posted (load limit),43.187025,-91.28920833333333
341,313655.0,632ND AVE,STREAM,Story,County,County,1973,0.0,60,2022,0,4.0,2010,16,Posted (load limit),41.93024166666667,-93.43977777777778
342,80700.0,150TH ST,HORTON CR,Bremer,County,County,1967,1977.0,59,2022,0,3.0,2010,16,Posted (load limit),42.832930555555556,-92.49225
343,163990.0,LOCAL,BLACK HAWK CREEK,Grundy,County,County,1946,0.0,59,2022,0,3.0,2010,16,Posted (load limit),42.32994444444445,-92.61158888888889
344,318270.0,IRR-FM,BENNETT CREEK,Tama,County,County,1944,2006.0,59,2022,0,4.0,2010,16,Posted (restriction),41.952780555555556,-92.64923333333334
345,62820.0,LOCAL,SILVER CREEK,Allamakee,County,County,1958,0.0,59,2022,0,4.0,2010,16,Posted (restriction),43.352497222222226,-91.47343611111111
346,317590.0,LOCAL,SALT CREEK,Tama,County,County,1927,0.0,59,2022,0,4.0,2010,16,Posted (load limit),41.98446944444444,-92.32686111111111
347,243730.0,FM,MINERVA CREEK,Marshall,County,County,1957,0.0,59,2022,0,4.0,2010,16,Open,42.11394444444445,-93.15203333333334
348,346841.0,LOCAL ROAD,CREEK,Winneshiek,County,County,1977,0.0,59,2022,0,4.0,2010,16,Open,43.21241388888889,-91.82686944444444
349,5620.0,LOCAL,WEST NODAWAY RIVER,Montgomery,City / Municipal,City / Municipal,1924,0.0,58,2022,0,4.0,2010,16,Posted (load limit),41.14464722222222,-94.97826666666667
350,199470.0,LOCAL,PRAIRIE CREEK,Jasper,County,County,1921,0.0,51,2022,0,4.0,2010,16,Open,41.790997222222224,-93.13844166666668
351,355700.0,OLIVE,DRAINAGE DITCH,Worth,County,County,1974,0.0,51,2022,0,4.0,2010,16,Open,43.26980833333333,-93.22093055555555
352,97981.0,LOCAL - 740TH,WEST NODAWAY RIVER,Cass,County,County,1978,0.0,51,2022,12,3.0,2010,16,Posted (load limit),41.25751666666667,-94.77698333333333
353,269995.0,LOCAL,DD 175,Palo Alto,County,County,1960,0.0,51,2021,0,4.0,2010,16,Posted (load limit),43.09750833333334,-94.72004444444444
354,241860.0,LOCAL,SNIPE CREEK,Marshall,County,County,1915,0.0,51,2022,0,4.0,2010,16,Posted (load limit),41.912099999999995,-92.90254444444444
355,326250.0,LOCAL,STREAM,Union,County,County,1900,0.0,51,2022,0,3.0,2010,16,Posted (load limit),41.15521388888889,-94.05239722222223
356,334081.0,LOCAL ROAD,BRANCH PAINTER CREEK,Warren,County,County,1961,0.0,51,2022,0,3.0,2010,16,Posted (load limit),41.27138055555555,-93.73454722222222
357,353240.0,LOCAL,STREAM,Woodbury,County,County,1950,0.0,50,2022,0,3.0,2010,16,Posted (load limit),42.443172222222216,-95.82317222222221
358,78250.0,FM,IOWAY CREEK,Boone,County,County,1949,0.0,50,2022,0,4.0,2010,16,Posted (load limit),42.13758333333333,-93.72909722222222
359,199830.0,FM,DRAINAGE,Jefferson,County,County,1900,1954.0,50,2022,0,4.0,2010,16,Posted (restriction),40.97253611111111,-91.80933055555555
360,221950.0,BURLINGHAM RD,BUFFALO CR,Linn,County,County,1900,0.0,50,2021,0,3.0,2010,16,Posted (load limit),42.17973611111111,-91.39883611111112
361,353020.0,FM,CREEK,Woodbury,County,County,1978,0.0,50,2022,0,4.0,2010,16,Open,42.421274999999994,-95.68911111111112
362,235011.0,LOCAL RD,N BR NORTH RIVER,Madison,County,County,1915,1974.0,50,2022,0,4.0,2010,16,Posted (load limit),41.45296388888889,-94.070425
363,202505.0,FM,CREEK,Jefferson,County,County,1952,0.0,50,2022,0,4.0,2010,16,Open,41.09205,-91.99618611111111
364,337140.0,FM,SMALL STREAM,Washington,County,County,1917,0.0,50,2022,0,4.0,2010,16,Posted (load limit),41.365833333333335,-91.79315277777778
365,184870.0,215TH ST,DES MOINES RIVER,Humboldt,County,County,1899,0.0,50,2019,0,4.0,2010,16,Posted (load limit),42.73903333333333,-94.25363333333334
366,245730.0,LCL-400TH ST,INDIAN CREEK,Mills,County,County,1957,0.0,50,2022,0,4.0,2010,16,Posted (load limit),41.01428055555556,-95.42266666666667
367,257960.0,FM,MUD CREEK,Muscatine,County,County,1939,0.0,50,2022,0,4.0,2010,16,Posted (load limit),41.59213333333334,-90.95812222222223
368,212400.0,LOCAL,STREAM,Keokuk,County,County,1967,1985.0,50,2022,0,4.0,2010,16,Posted (load limit),41.39411944444444,-92.38605277777778
369,103240.0,240TH ST,BR GOWER CR,Cedar,County,County,1924,0.0,50,2022,0,4.0,2010,16,Posted (load limit),41.74422777777778,-91.35466666666666
370,329930.0,FM,CREEK,Van Buren,County,County,1955,0.0,50,2022,0,3.0,2010,16,Open,40.85101388888889,-92.16849166666667
371,167770.0,FM,SOUTH RACOON RIVER,Guthrie,County,County,1957,0.0,50,2022,0,4.0,2010,16,Open,41.61625277777778,-94.37131388888888
372,63920.0,FM,STREAM,Appanoose,County,County,1953,0.0,50,2022,0,3.0,2010,16,CLOSED to traffic,40.63794444444444,-93.09614166666667
373,280550.0,SE 80TH AVE,MUD CREEK,Polk,County,County,1920,0.0,50,2022,8,4.0,2010,16,Posted (load limit),41.507377777777776,-93.36716388888888
374,279250.0,LOCAL,CROOKED CREEK,Pocahontas,County,County,1917,1980.0,50,2022,0,3.0,2010,16,Posted (load limit),42.805166666666665,-94.51771111111111
375,302030.0,LOCAL,HALFWAY CREEK,Sac,County,County,1918,1950.0,50,2022,0,4.0,2010,16,Posted (load limit),42.50389444444444,-95.32827499999999
376,136630.0,FM,SHANE CREEK,Decatur,County,County,1950,0.0,50,2022,0,4.0,2010,16,Posted (load limit),40.58761944444445,-93.99380833333333
377,64390.0,FM,STREAM,Appanoose,County,County,1958,0.0,50,2022,0,3.0,2010,16,Posted (load limit),40.69274166666666,-92.75443888888888
378,275350.0,190TH ST,BULL RUN,Plymouth,County,County,1961,0.0,50,2022,0,4.0,2010,16,Posted (load limit),42.77883611111111,-96.39419166666667
379,102980.0,GREEN RD,ROCK RUN CR,Cedar,County,County,1920,1973.0,50,2021,0,3.0,2010,16,Posted (load limit),41.75653611111111,-91.220275
380,245630.0,LCL-380TH ST,INDIAN CREEK,Mills,County,County,1964,0.0,50,2022,22,4.0,2010,16,Posted (load limit),41.02303888888889,-95.46087777777778
381,266320.0,T AVENUE,STREAM,Page,County,County,1976,0.0,50,2022,0,3.0,2010,16,Posted (load limit),40.77469166666667,-95.00444722222223
382,319140.0,LOCAL,CRYSTAL CREEK,Tama,County,County,1951,0.0,49,2022,0,4.0,2010,16,Open,42.119508333333336,-92.66933055555556
383,156880.0,FM SPRUCE AVE,MAYNES CREEK,Franklin,County,County,1952,0.0,49,2022,0,3.0,2010,16,Posted (load limit),42.691913888888884,-93.14378888888889
384,348390.0,LOCAL ROAD,CANOE CREEK,Winneshiek,County,County,1908,0.0,49,2022,0,4.0,2010,16,Posted (load limit),43.35445,-91.67601111111112
385,155501.0,LOCAL,FLOOD CREEK,Floyd,County,County,1900,1971.0,49,2022,0,4.0,2010,16,Posted (load limit),43.11177777777778,-92.90373055555555
386,76100.0,WHEELER RD,CRANE CREEK,Black Hawk,County,County,1948,0.0,49,2022,0,0.0,2010,16,CLOSED to traffic,42.570908333333335,-92.12150555555554
387,153640.0,250TH ST,UNNAMED CREEK,Fayette,County,County,1916,0.0,49,2022,0,4.0,2010,16,Posted (load limit),42.997883333333334,-91.96582500000001
388,349230.0,FM,NORTH BEAR CREEK,Winneshiek,County,County,1900,0.0,49,2022,0,4.0,2010,16,Open,43.46438611111111,-91.66864444444445
389,74980.0,FOX RD,SPRING CREEK,Black Hawk,County,County,1949,0.0,49,2022,0,3.0,2010,16,Posted (load limit),42.42796388888889,-92.07912777777777
390,318450.0,LOCAL,INDIAN CREEK,Tama,County,County,1940,2012.0,49,2022,0,4.0,2010,16,Open,41.97452777777778,-92.74687222222222
391,10730.0,WEST ST,DRAINAGE,Woodbury,City / Municipal,City / Municipal,1930,0.0,48,2021,0,4.0,2010,16,Open,42.556330555555554,-96.43200555555556
392,89391.0,120TH ST,STREAM,Butler,County,County,1981,0.0,48,2021,0,3.0,2010,16,Posted (load limit),42.87650555555555,-92.69702777777778
393,358120.0,LOCAL,CREEK,Wright,County,County,1900,0.0,47,2021,0,3.0,2010,16,Posted (load limit),42.75669166666667,-93.5380888888889
394,7320.0,MAIN ST-FOX AVE,HONEY CREEK,Clayton,County,County,1925,0.0,47,2022,0,3.0,2010,16,Posted (load limit),42.74753611111111,-91.37252777777778
395,258130.0,LOCAL,MUD CREEK,Muscatine,County,County,1954,0.0,47,2022,0,3.0,2010,16,Posted (load limit),41.57565555555556,-91.05750277777777
396,241740.0,LOCAL,BRUSH CREEK,Marshall,County,County,1917,0.0,47,2022,0,3.0,2010,16,Posted (load limit),41.89286111111111,-92.82482222222222
397,181230.0,LOCAL,LOCAL STREAM,Henry,County,County,1957,0.0,47,2022,0,4.0,2010,16,Open,41.14221388888889,-91.48604166666667
398,329421.0,LOCAL,LITTLE LICK CREEK,Van Buren,County,County,1972,0.0,47,2022,0,4.0,2010,16,Open,40.83161944444445,-91.91180277777778
399,244140.0,LOCAL,CREEK,Marshall,County,County,1918,0.0,47,2022,0,4.0,2010,16,Posted (load limit),42.14793888888889,-92.93910555555556
400,56140.0,LOCAL,CREEK,Adair,County,County,1951,0.0,46,2022,0,4.0,2010,16,Posted (load limit),41.258586111111114,-94.58426388888888
401,99990.0,LOCAL - JASPER,NISHNABOTNA RIVER,Cass,County,County,1959,0.0,46,2022,0,4.0,2010,16,Posted (load limit),41.37510833333334,-95.06676666666667
402,212580.0,LOCAL,CEDAR CREEK,Keokuk,County,County,1952,1984.0,46,2021,0,0.0,2010,16,CLOSED to traffic,41.33974444444445,-92.3254361111111
403,269420.0,LOCAL,DD 41,Palo Alto,County,County,1948,2011.0,46,2022,0,4.0,2010,16,Posted (load limit),43.03813888888889,-94.69842777777778
404,268640.0,FM,OLD CHANNEL DES MOINES R,Palo Alto,County,County,1956,0.0,46,2021,0,4.0,2010,16,Posted (load limit),42.98083888888889,-94.53117222222222
405,333340.0,LOCAL,BROADHORN CREEK,Warren,County,County,1915,1955.0,46,2022,0,3.0,2010,16,Posted (load limit),41.236697222222226,-93.77041111111112
406,357760.0,230TH ST,CREEK,Wright,County,County,1900,0.0,46,2022,0,4.0,2010,16,Posted (load limit),42.71714444444444,-93.95606388888889
407,57600.0,LOCAL,PLUNGER CREEK,Adair,County,County,1968,0.0,46,2022,0,3.0,2010,16,Posted (load limit),41.446016666666665,-94.2965611111111
408,204170.0,GREEN CASTLE AV,SMALL STREAM,Johnson,County,County,1900,0.0,46,2021,0,3.0,2010,16,Open,41.65541666666667,-91.71650277777778
409,136430.0,LOCAL,TRIB OF DICKENSON BRANCH,Decatur,County,County,1965,0.0,46,2022,0,3.0,2010,16,Posted (load limit),40.623844444444444,-93.84016388888888
410,343950.0,LOCAL,DEER CREEK,Webster,County,County,1925,1958.0,45,2022,0,4.0,2010,16,Open,42.60171666666667,-94.24816944444444
411,109840.0,LOCAL 460TH ST,BEAR CREEK,Cherokee,County,County,1916,0.0,45,2022,0,4.0,2010,16,Posted (restriction),42.85198611111111,-95.66555555555556
412,109670.0,LOCAL 470TH ST,GREY CREEK,Cherokee,County,County,1920,0.0,45,2022,0,4.0,2010,16,Posted (load limit),42.83666111111111,-95.54485
413,267550.0,SYCAMORE AVE,STREAM,Page,County,County,1961,0.0,45,2022,0,4.0,2010,16,Posted (load limit),40.89550555555555,-95.01677222222222
414,253510.0,FM,GRAYS CREEK,Monroe,County,County,1951,0.0,45,2022,0,3.0,2010,16,Posted (load limit),41.115500000000004,-92.77380555555555
415,250810.0,FM,LITTLE SIOUX RIVER,Monona,County,County,1960,0.0,45,2022,0,4.0,2010,16,Open,42.058566666666664,-96.00669166666667
416,178910.0,NEELY TRAIL,WILLOW CREEK,Harrison,County,County,1940,0.0,45,2022,0,0.0,2010,16,CLOSED to traffic,41.71113888888889,-95.83105277777777
417,235670.0,290TH ST,DRAINAGE DITCH #2,Mahaska,County,County,1900,0.0,45,2022,0,4.0,2010,16,Posted (load limit),41.23393055555556,-92.7070138888889
418,103661.0,180TH ST,SUGAR CREEK,Cedar,County,County,1976,0.0,45,2021,0,0.0,2010,16,CLOSED to traffic,41.830311111111115,-91.08120833333334
419,336700.0,FM,DUTCH CREEK,Washington,County,County,1956,0.0,45,2022,0,4.0,2010,16,Open,41.30800555555555,-91.93179166666667
420,322520.0,LOCAL,CREEK,Taylor,County,County,1960,0.0,45,2021,0,3.0,2010,16,Posted (load limit),40.807649999999995,-94.68077500000001
421,255160.0,LOCAL RD,WEST NODAWAY RIVER,Montgomery,County,County,1940,0.0,45,2021,0,3.0,2010,16,Posted (load limit),41.00855277777778,-94.9951638888889
422,299900.0,FM,RACCOON RIVER,Sac,County,County,1921,0.0,45,2022,0,3.0,2010,16,Posted (load limit),42.301005555555555,-94.89218333333334
423,146530.0,LOCAL,GRANGER CREEK,Dubuque,County,County,1925,0.0,45,2021,0,2.0,2010,16,CLOSED to traffic,42.45581666666667,-90.65840555555556
424,199970.0,LOCAL,STREAM,Jefferson,County,County,1953,0.0,45,2022,0,4.0,2010,16,Open,40.987500000000004,-91.84925555555554
425,196420.0,S 64TH AVE E,SUGAR CREEK,Jasper,County,County,1933,1974.0,45,2022,0,0.0,2010,16,CLOSED to traffic,41.62316944444444,-92.76776111111111
426,201590.0,FM,COMPETINE CREEK,Jefferson,County,County,1954,0.0,45,2022,0,3.0,2010,16,Posted (load limit),41.062016666666665,-92.15151944444445
427,11580.0,OAK ST,NAGLE CREEK,Clayton,City / Municipal,County,1915,0.0,45,2022,0,4.0,2010,16,Posted (load limit),42.801224999999995,-91.53369444444444
428,238370.0,LOCAL,M BR BUCKLEY CREEK,Mahaska,County,County,1950,0.0,45,2022,0,4.0,2010,16,Open,41.508691666666664,-92.81475277777777
429,276950.0,JUNIPER AVE,MINK CREEK,Plymouth,County,County,1900,0.0,45,2022,0,4.0,2010,16,Posted (load limit),42.89043611111111,-96.25338333333333
430,282300.0,LOCAL ROAD,INDIAN CREEK,Polk,County,County,1916,0.0,45,2022,0,3.0,2010,16,Posted (load limit),41.85670555555556,-93.38622222222223
431,291980.0,FM,STREAM,Poweshiek,County,County,1949,0.0,45,2022,0,4.0,2010,16,Posted (restriction),41.545405555555554,-92.68454722222222
432,313890.0,640TH AVE,CALAMUS CREEK,Story,County,County,1938,1987.0,45,2022,0,4.0,2010,16,Posted (load limit),41.878683333333335,-93.42532222222222
433,165250.0,LOCAL ROAD,SOUTH FORK BEAVER CREEK,Grundy,County,County,1948,0.0,44,2022,0,3.0,2010,16,Posted (load limit),42.47049166666667,-92.89552777777779
434,317420.0,LOCAL,SALT CREEK,Tama,County,County,1955,0.0,44,2022,0,0.0,2010,16,CLOSED to traffic,42.028980555555556,-92.35340555555555
435,317430.0,LOCAL,SALT CREEK,Tama,County,County,1897,1935.0,44,2022,0,0.0,2010,16,CLOSED to traffic,42.02896388888889,-92.35541111111111
436,176220.0,FM,SOUTH FORK IOWA RIVER,Hardin,County,County,1954,0.0,44,2022,0,3.0,2010,16,Posted (load limit),42.43593055555555,-93.34671666666667
437,346430.0,LOCAL,CREEK,Winneshiek,County,County,1944,0.0,44,2022,0,4.0,2010,16,Posted (load limit),43.088025,-91.9038888888889
438,106850.0,HICKORY AVE,CALMUS CREEK,Cerro Gordo,County,County,1917,0.0,44,2022,0,4.0,2010,16,Posted (load limit),43.209447222222224,-93.34956388888888
439,176230.0,FM,SOUTH FORK IOWA RIVER,Hardin,County,County,1900,0.0,44,2022,0,4.0,2010,16,Open,42.42477777777778,-93.34668055555555
440,163480.0,LOCAL,BRANCH WOLF CREEK,Grundy,County,County,1915,0.0,44,2022,0,3.0,2010,16,Posted (load limit),42.28249722222222,-92.79403333333333
441,151740.0,160TH ST,L WAPSIPINICON RIVER,Fayette,County,County,1916,0.0,43,2022,26,3.0,2010,16,Posted (load limit),42.861177777777776,-92.08167222222222
442,89400.0,CAMP COMFORT,SMALL STREAM,Butler,County,County,1936,0.0,42,2021,0,3.0,2010,16,Posted (restriction),42.85526111111111,-92.78424166666666
443,358665.0,LOCAL,IOWA RIVER,Wright,County,County,1975,0.0,42,2021,24,3.0,2010,16,Posted (load limit),42.89873333333333,-93.60993888888888
444,183610.0,VALE RD,NICHOLS CR,Howard,County,County,1949,0.0,42,2021,0,3.0,2010,16,Posted (load limit),43.45809166666667,-92.12979166666666
445,270250.0,LOCAL,STREAM,Palo Alto,County,County,1962,0.0,41,2021,0,4.0,2010,16,Posted (load limit),43.25528611111111,-94.77499166666666
446,247090.0,LCL-ELLINGTON,KEG CREEK,Mills,County,County,1964,0.0,41,2021,0,2.0,2010,16,Posted (load limit),41.08766666666667,-95.72022777777778
447,269850.0,LOCAL,DD,Palo Alto,County,County,1915,1954.0,41,2022,0,3.0,2010,16,CLOSED to traffic,43.155652777777775,-94.74961388888889
448,257230.0,LOCAL,PIKE CREEK,Muscatine,County,County,1900,1981.0,41,2022,0,3.0,2010,16,Posted (load limit),41.3868,-91.32913055555555
449,195690.0,ROYAL ST,BUCK CREEK,Jasper,County,County,1925,0.0,41,2022,0,3.0,2010,16,Posted (load limit),41.54083055555555,-93.04600555555555
450,234670.0,LOCAL,WATERWAY,Madison,County,County,1950,0.0,41,2022,10,4.0,2010,16,Open,41.49583055555556,-93.93804722222222
451,230560.0,LOCAL ROAD,KLONDIKE CREEK,Lyon,County,County,1900,0.0,41,2022,0,0.0,2010,16,CLOSED to traffic,43.419016666666664,-96.45940833333334
452,57850.0,LOCAL,MIDDLE RIVER,Adair,County,County,1958,0.0,41,2022,0,4.0,2010,16,Posted (load limit),41.474808333333335,-94.44705
453,226580.0,LOCAL,BR OF BRUSH CREEK,Lucas,County,County,1953,0.0,41,2022,0,3.0,2010,16,Posted (load limit),41.017402777777775,-93.53366388888888
454,229070.0,LOCAL ROAD,ALBERTSON CREEK,Lyon,County,County,1900,2001.0,41,2022,0,3.0,2010,16,Posted (load limit),43.316263888888884,-96.3925638888889
455,99361.0,LOCAL - 665TH,JIM BRANCH,Cass,County,County,1978,0.0,41,2022,0,3.0,2010,16,Posted (restriction),41.36394166666667,-94.9157388888889
456,241140.0,LOCAL,STREAM,Marion,County,County,1967,2010.0,41,2022,0,4.0,2010,16,Open,41.48935,-93.04429999999999
457,226570.0,LOCAL,BR OF SOUTH OTTER CREEK,Lucas,County,County,1966,0.0,41,2022,0,3.0,2010,16,Posted (load limit),41.05443333333333,-93.5228
458,355920.0,390TH,STREAM,Worth,County,County,1959,0.0,41,2022,0,3.0,2010,16,CLOSED to traffic,43.32803888888889,-93.43076944444445
459,181240.0,LOCAL,LOCAL STREAM,Henry,County,County,1968,0.0,41,2022,0,4.0,2010,16,Posted (load limit),41.14082777777778,-91.46683333333334
460,244320.0,LOCAL,MUD CREEK,Marshall,County,County,1946,2001.0,41,2022,0,4.0,2010,16,Posted (load limit),42.162077777777775,-93.0704361111111
461,242990.0,LOCAL,BRANCH NORTH TIMBER CRK,Marshall,County,County,1924,0.0,41,2022,0,4.0,2010,16,Open,41.993097222222225,-93.13059166666666
462,117170.0,270TH ST,CREEK,Dickinson,County,County,1926,0.0,41,2021,0,4.0,2010,16,Posted (restriction),43.255183333333335,-94.97221666666667
463,340250.0,FM,SOUTH CHARITON RIVER,Wayne,County,County,1918,0.0,40,2022,0,4.0,2010,16,Posted (load limit),40.73816111111111,-93.4223638888889
464,328941.0,LOCAL,TRIB TO HOLCOMB CREEK,Van Buren,County,County,1976,0.0,40,2022,0,3.0,2010,16,Posted (load limit),40.81325833333333,-92.10846388888888
465,77120.0,LOCAL,LITTLE BEAVER CREEK,Boone,County,County,1915,0.0,40,2021,0,4.0,2010,16,Open,41.90676944444444,-94.03313888888889
466,201860.0,LOCAL,BR.BURR OAK CREEK,Jefferson,County,County,1962,0.0,40,2022,0,3.0,2010,16,Posted (load limit),41.136402777777775,-91.78871944444444
467,6215.0,BROOKLYN DR,HUNTER BRANCH CREEK,Fremont,City / Municipal,City / Municipal,1959,0.0,40,2021,0,2.0,2010,16,Posted (load limit),40.879019444444445,-95.43138611111111
468,8346.0,ELM ST,DRAINAGE,Tama,County,County,1920,0.0,40,2022,0,0.0,2010,16,CLOSED to traffic,41.98113055555556,-92.717375
469,325110.0,FM,STREAM,Union,County,County,1951,0.0,40,2022,0,4.0,2010,16,Open,40.95729722222222,-94.42389166666668
470,114570.0,LOCAL,SMALL CREEK,Clarke,County,County,1900,1995.0,40,2022,0,3.0,2010,16,Posted (load limit),41.05249166666666,-93.70733055555556
471,329641.0,FM,CREEK,Van Buren,County,County,1977,0.0,40,2022,0,3.0,2010,16,Posted (load limit),40.871433333333336,-92.03061111111111
472,130930.0,FM,SOLDIER RIVER,Crawford,County,County,1957,0.0,40,2021,0,4.0,2010,16,Posted (load limit),42.161144444444446,-95.65190000000001
473,321190.0,FM,SMALL STREAM,Taylor,County,County,1951,0.0,40,2021,0,4.0,2010,16,Posted (restriction),40.59186666666667,-94.66152777777778
474,325120.0,FM,MIDDLE PLATTE RIVER,Union,County,County,1952,0.0,40,2022,0,3.0,2010,16,Posted (load limit),40.95725,-94.41893888888889
475,244921.0,LCL-MARH AVE,NISHNA RIVER,Mills,County,County,1940,0.0,40,2022,0,3.0,2010,16,Posted (load limit),40.987316666666665,-95.52854722222222
476,252430.0,LOCAL,CREEK,Monroe,County,County,1959,0.0,40,2022,0,3.0,2010,16,Posted (load limit),40.90868611111111,-93.06939166666666
477,158711.0,380 AVENUE,MILL CREEK,Fremont,County,County,1973,0.0,40,2021,0,4.0,2010,16,Open,40.63605277777778,-95.46924722222222
478,168500.0,LOCAL,SEELY CREEK,Guthrie,County,County,1957,0.0,40,2022,0,3.0,2010,16,Posted (load limit),41.659819444444445,-94.63800555555557
479,143555.0,FM,COLD SPRING  BRANCH,Des Moines,County,County,1959,0.0,40,2022,0,4.0,2010,16,Open,40.93257777777777,-91.0804111111111
480,234620.0,LOCAL,BADGER CREEK,Madison,County,County,1890,1974.0,40,2022,13,0.0,2010,16,CLOSED to traffic,41.46775277777778,-93.79967777777777
481,231960.0,FM,DRAINAGE,Madison,County,County,1951,0.0,40,2022,0,4.0,2010,16,Posted (load limit),41.225144444444446,-93.94718611111111
482,231950.0,FM,DRAINAGE,Madison,County,County,1930,1986.0,40,2022,0,4.0,2010,16,Posted (load limit),41.214650000000006,-93.98879444444445
483,84900.0,LOCAL,BR RACCOON RIVER,Buena Vista,County,County,1917,0.0,40,2022,0,4.0,2010,16,Posted (restriction),42.719569444444446,-95.07276944444445
484,314570.0,248TH ST,EAST BR INDIAN CREEK,Story,County,County,1936,1975.0,40,2022,0,1.0,2010,16,CLOSED to traffic,42.00087777777778,-93.37229722222222
485,177201.0,TAYLOR AVE,PIGEON CREEK,Harrison,County,County,1920,1986.0,40,2022,0,4.0,2010,16,Posted (load limit),41.60224166666667,-95.63203055555554
486,171910.0,INKPADUTA AVE,BOONE RIVER,Hamilton,County,County,1907,0.0,40,2022,0,0.0,2010,16,CLOSED to traffic,42.40543888888889,-93.80953333333333
487,244210.0,LOCAL,DOWD CREEK,Marshall,County,County,1916,1950.0,39,2022,0,4.0,2010,16,Posted (load limit),42.20631111111111,-93.01624166666667
488,319590.0,LOCAL,EAST BRANCH SALT CREEK,Tama,County,County,1969,0.0,39,2022,0,4.0,2010,16,Posted (load limit),42.13773333333333,-92.343525
489,80030.0,195TH ST,CREEK,Bremer,County,County,1915,0.0,39,2022,0,0.0,2010,16,CLOSED to traffic,42.76653888888889,-92.48214722222222
490,349860.0,FM,UPPER IOWA RIVER,Winneshiek,County,County,1913,0.0,39,2022,0,4.0,2010,16,Posted (load limit),43.46473055555556,-92.03937777777777
491,118670.0,300TH ST,MINERS CREEK,Clayton,County,County,1916,0.0,39,2022,0,3.0,2010,16,Posted (load limit),42.796861111111106,-91.13710555555556
492,71590.0,LOCAL,WILD CAT CREEK,Benton,County,County,1900,0.0,39,2022,0,3.0,2010,16,Posted (load limit),42.09928611111111,-91.93046944444446
493,316740.0,FM,IOWA RIVER,Tama,County,County,1914,1972.0,39,2022,0,0.0,2010,16,CLOSED to traffic,41.920161111111106,-92.43396111111112
494,166100.0,LOCAL ROAD,MIDDLE FORK BEAVER CREEK,Grundy,County,County,1948,0.0,39,2022,0,4.0,2010,16,Posted (load limit),42.489441666666664,-92.88866111111112
495,165341.0,LOCAL RD,SOUTH FORK BEAVER CREEK,Grundy,County,County,1977,0.0,39,2022,0,4.0,2010,16,Posted (restriction),42.448413888888886,-92.94676944444444
